name	nome_nextstrain	latitude	longitude	DENV1_I	DENV1_III	DENV1_IV	DENV1_V	Total_DENV1	DENV2_I	DENV2_II	DENV2_III	DENV2_IV	DENV2_S	Total_DENV2	DENV3_I	DENV3_II	DENV3_III	DENV3_IV	Total_DENV3	DENV4_I	DENV4_II	Total_DENV4	Total_total
Fiji	Fiji	-16.578193	179.414413	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	1	0	0	0	4
Tanzania	Tanzania	-6.369028	34.888822	0	2	0	0	2	0	6	0	0	0	6	0	0	0	0	0	0	0	0	8
W. Sahara	Western Sahara	24.215527	-12.885834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Canada	Canada	56.130366	-106.346771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
United States of America	USA	37.09024	-95.712891	0	2	4	24	30	0	0	146	0	0	146	1	0	118	1	120	0	36	36	332
Kazakhstan	Kazakhstan	48.019573	66.923684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uzbekistan	Uzbekistan	41.377491	64.585262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papua New Guinea	Papua New Guinea	-6.314993	143.95555	0	0	5	0	5	0	11	0	0	0	11	5	0	0	0	5	0	1	1	22
Indonesia	Indonesia	-0.789275	113.921327	7	0	2	0	9	1	24	0	0	0	25	17	1	0	0	18	0	25	25	77
Argentina	Argentina	-38.416097	-63.616672	0	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Chile	Chile	-35.675147	-71.542969	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Dem. Rep. Congo	Democratic Republic of the Congo	-4.038333	21.758664	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2
Somalia	Somalia	5.152149	46.199616	2	0	0	0	2	0	2	0	0	0	2	0	0	1	0	1	0	0	0	5
Kenya	Kenya	-0.023559	37.906193	1	1	0	0	2	0	36	0	0	0	36	0	0	5	0	5	0	0	0	43
